City,Pollutant,RF_R2,RF_MAE,RF_RMSE
Adelaide,so2,0.44428324989513224,0.09417096033307017,0.19579369165463475
Brisbane,so2,0.32277217199240893,0.22890037762416834,0.4678633781209125
Darwin,so2,0.6319836893725912,0.08227318840579714,0.1563016736680229
Melbourne,so2,0.14374290947550006,0.16877074560540475,0.5480491098721535
Newcastle,so2,0.5946326701135333,0.4167058823529412,0.6006616583464327
Perth,so2,0.24132773050864986,0.43653116215545495,0.9269124207344072
Sydney,so2,0.6780326788008169,0.21103846153846134,0.48471433186618623
Wollongong,so2,0.5994392493042868,0.6362668998984278,1.1662529745679282
