City,Pollutant,RF_R2,RF_MAE,RF_RMSE
Adelaide,o3,0.3840824860477998,1.236352112676056,1.5403206269484342
Brisbane,o3,0.4200354232951097,1.446607526881721,1.8915119613684708
Canberra,o3,0.4961665928513419,1.3526181818181815,1.8145701051947993
Darwin,o3,0.6614787038970613,0.969044198895028,1.3084581770561003
Melbourne,o3,0.4622608178180785,2.9810661764705886,3.9621090464029685
Newcastle,o3,0.3802450786903854,4.090807692307691,4.87709413404208
Perth,o3,0.2705402855502942,3.4218279569892474,4.19917106515186
Sydney,o3,0.44740375002421595,2.955436046511628,3.7660671755732436
Wollongong,o3,0.20116465528162597,3.8152758620689666,4.791148002233949
