Date,City,Highest AQI,Rounded AQI
2023-01-08,Melbourne,27.72,28
2023-01-08,Launceston,6.6000000000000005,7
2023-01-08,Darwin,33.0,33
2023-01-08,Canberra,57.19999999999999,57
2023-01-08,Brisbane,19.8,20
2023-01-08,Adelaide,22.44,22
2023-01-08,Hobart,6.6000000000000005,7
2023-01-09,Newcastle,25.08,25
2023-01-09,Wollongong,17.16,17
2023-01-09,Sydney,22.44,22
2023-01-09,Perth,10.56,11
2023-01-09,Melbourne,44.88,45
2023-01-09,Adelaide,33.0,33
2023-01-09,Hobart,11.88,12
2023-01-09,Brisbane,34.32,34
2023-01-09,Launceston,6.6000000000000005,7
2023-01-09,Darwin,23.76,24
2023-01-09,Canberra,56.1,56
2023-01-10,Wollongong,18.48,18
2023-01-10,Sydney,13.2,13
2023-01-10,Perth,11.88,12
2023-01-10,Newcastle,18.48,18
2023-01-10,Launceston,11.88,12
2023-01-10,Melbourne,43.56,44
2023-01-10,Darwin,21.12,21
2023-01-10,Canberra,29.040000000000003,29
2023-01-10,Brisbane,30.360000000000003,30
2023-01-10,Adelaide,33.0,33
2023-01-10,Hobart,17.16,17
2023-01-11,Newcastle,19.8,20
2023-01-11,Wollongong,19.8,20
2023-01-11,Sydney,21.12,21
2023-01-11,Perth,26.4,26
2023-01-11,Melbourne,40.92,41
2023-01-11,Brisbane,29.040000000000003,29
2023-01-11,Hobart,11.88,12
2023-01-11,Darwin,17.16,17
2023-01-11,Canberra,59.400000000000006,59
2023-01-11,Adelaide,31.68,32
2023-01-11,Launceston,11.88,12
2023-01-12,Melbourne,67.32,67
2023-01-12,Wollongong,26.4,26
2023-01-12,Perth,14.52,15
2023-01-12,Newcastle,27.72,28
2023-01-12,Launceston,11.88,12
2023-01-12,Sydney,25.08,25
2023-01-12,Darwin,18.7,19
2023-01-12,Canberra,43.56,44
2023-01-12,Brisbane,23.76,24
2023-01-12,Hobart,17.16,17
2023-01-12,Adelaide,43.56,44
2023-01-13,Wollongong,19.8,20
2023-01-13,Sydney,17.16,17
2023-01-13,Perth,7.92,8
2023-01-13,Newcastle,26.4,26
2023-01-13,Melbourne,60.72,61
2023-01-13,Adelaide,33.0,33
2023-01-13,Hobart,17.16,17
2023-01-13,Darwin,19.25,19
2023-01-13,Canberra,44.88,45
2023-01-13,Brisbane,25.08,25
2023-01-13,Launceston,11.88,12
2023-01-14,Sydney,14.52,15
2023-01-14,Perth,9.35820895522388,9
2023-01-14,Newcastle,18.48,18
2023-01-14,Melbourne,54.120000000000005,54
2023-01-14,Wollongong,14.52,15
2023-01-14,Hobart,11.88,12
2023-01-14,Brisbane,23.76,24
2023-01-14,Launceston,11.88,12
2023-01-14,Darwin,22.0,22
2023-01-14,Canberra,30.360000000000003,30
2023-01-15,Wollongong,14.52,15
2023-01-15,Sydney,17.16,17
2023-01-15,Perth,11.88,12
2023-01-15,Melbourne,40.92,41
2023-01-15,Newcastle,18.48,18
2023-01-15,Hobart,11.88,12
2023-01-15,Darwin,22.55,23
2023-01-15,Canberra,34.32,34
2023-01-15,Brisbane,25.08,25
2023-01-15,Launceston,17.16,17
2023-01-16,Wollongong,23.76,24
2023-01-16,Sydney,15.84,16
2023-01-16,Perth,8.373134328358208,8
2023-01-16,Newcastle,18.48,18
2023-01-16,Melbourne,51.48,51
2023-01-16,Launceston,11.88,12
2023-01-16,Darwin,23.1,23
2023-01-16,Canberra,31.68,32
2023-01-16,Brisbane,30.360000000000003,30
2023-01-16,Hobart,11.88,12
2023-01-17,Wollongong,17.16,17
2023-01-17,Sydney,11.88,12
2023-01-17,Perth,7.880597014925373,8
2023-01-17,Newcastle,18.48,18
2023-01-17,Melbourne,48.84,49
2023-01-17,Launceston,17.16,17
2023-01-17,Hobart,11.88,12
2023-01-17,Darwin,23.65,24
2023-01-17,Canberra,21.12,21
2023-01-17,Brisbane,30.360000000000003,30
2023-01-18,Wollongong,34.32,34
2023-01-18,Sydney,22.44,22
2023-01-18,Perth,9.35820895522388,9
2023-01-18,Newcastle,23.76,24
2023-01-18,Melbourne,31.68,32
2023-01-18,Hobart,11.88,12
2023-01-18,Darwin,28.6,29
2023-01-18,Canberra,36.96,37
2023-01-18,Brisbane,31.68,32
2023-01-18,Launceston,11.88,12
2023-01-19,Launceston,6.6000000000000005,7
2023-01-19,Sydney,18.48,18
2023-01-19,Perth,10.835820895522389,11
2023-01-19,Newcastle,26.4,26
2023-01-19,Melbourne,27.72,28
2023-01-19,Darwin,27.5,28
2023-01-19,Wollongong,25.08,25
2023-01-19,Canberra,19.8,20
2023-01-19,Brisbane,33.0,33
2023-01-19,Adelaide,22.44,22
2023-01-19,Hobart,6.6000000000000005,7
2023-01-20,Perth,14.28358208955224,14
2023-01-20,Newcastle,18.48,18
2023-01-20,Sydney,15.84,16
2023-01-20,Wollongong,17.16,17
2023-01-20,Melbourne,27.72,28
2023-01-20,Brisbane,25.08,25
2023-01-20,Hobart,6.6000000000000005,7
2023-01-20,Darwin,24.75,25
2023-01-20,Canberra,17.16,17
2023-01-20,Adelaide,17.16,17
2023-01-20,Launceston,6.6000000000000005,7
2023-01-21,Sydney,14.52,15
2023-01-21,Perth,15.26865671641791,15
2023-01-21,Newcastle,22.44,22
2023-01-21,Melbourne,36.96,37
2023-01-21,Launceston,6.6000000000000005,7
2023-01-21,Wollongong,13.2,13
2023-01-21,Darwin,24.200000000000003,24
2023-01-21,Canberra,19.8,20
2023-01-21,Brisbane,27.72,28
2023-01-21,Adelaide,18.48,18
2023-01-21,Hobart,6.6000000000000005,7
2023-01-22,Wollongong,12.65,13
2023-01-22,Sydney,13.2,13
2023-01-22,Perth,14.52,15
2023-01-22,Newcastle,18.48,18
2023-01-22,Melbourne,34.32,34
2023-01-22,Launceston,6.6000000000000005,7
2023-01-22,Darwin,23.65,24
2023-01-22,Canberra,14.52,15
2023-01-22,Brisbane,22.44,22
2023-01-22,Adelaide,33.0,33
2023-01-22,Hobart,6.6000000000000005,7
2023-01-23,Melbourne,39.6,40
2023-01-23,Wollongong,15.84,16
2023-01-23,Perth,14.52,15
2023-01-23,Newcastle,15.84,16
2023-01-23,Launceston,6.6000000000000005,7
2023-01-23,Sydney,13.2,13
2023-01-23,Darwin,23.65,24
2023-01-23,Canberra,19.8,20
2023-01-23,Brisbane,27.72,28
2023-01-23,Hobart,6.6000000000000005,7
2023-01-23,Adelaide,27.72,28
2023-01-24,Wollongong,15.84,16
2023-01-24,Sydney,19.8,20
2023-01-24,Perth,11.88,12
2023-01-24,Newcastle,23.76,24
2023-01-24,Melbourne,34.32,34
2023-01-24,Launceston,6.6000000000000005,7
2023-01-24,Hobart,11.88,12
2023-01-24,Darwin,23.1,23
2023-01-24,Canberra,21.12,21
2023-01-24,Brisbane,25.08,25
2023-01-24,Adelaide,23.76,24
2023-01-25,Wollongong,15.84,16
2023-01-25,Sydney,25.08,25
