Date,Country,City,Pollutant,count,min,max,median,variance
27/12/2022,AU,Sydney,co,3,1.2,1.2,1.2,0
27/12/2022,AU,Sydney,no2,82,1,9.3,2.8,49.78
27/12/2022,AU,Sydney,o3,134,0.8,24.8,12.8,343.92
27/12/2022,AU,Sydney,pm10,140,1,33,9,203.96
27/12/2022,AU,Sydney,pm2.5,136,1,76,13,861.85
27/12/2022,AU,Sydney,so2,26,1.5,22.9,2.9,362.73
27/12/2022,AU,Wollongong,co,4,1.2,2.3,1.2,3.03
27/12/2022,AU,Wollongong,no2,23,1,12.1,1.9,121.32
27/12/2022,AU,Wollongong,o3,46,0.8,20.8,12.1,395.17
27/12/2022,AU,Wollongong,pm10,48,1,27,11,346.7
27/12/2022,AU,Wollongong,pm2.5,39,1,46,16,1246.07
27/12/2022,AU,Wollongong,so2,4,1.5,2.9,1.5,6.53
28/12/2022,AU,Adelaide,co,22,0.9,2.5,1.4,3.08
28/12/2022,AU,Adelaide,no2,49,0.5,6.4,1.4,15.97
28/12/2022,AU,Adelaide,o3,61,4.9,13.9,7,56.36
28/12/2022,AU,Adelaide,pm10,120,6,42,22,627.95
28/12/2022,AU,Adelaide,pm2.5,96,5,81,25,1450.73
28/12/2022,AU,Adelaide,so2,2,0.6,0.6,0.6,0
28/12/2022,AU,Brisbane,no2,117,0.5,6.4,1.9,23.86
28/12/2022,AU,Brisbane,o3,71,1.3,8.2,5.3,30.35
28/12/2022,AU,Brisbane,pm10,216,1,22,12,195.15
28/12/2022,AU,Brisbane,pm2.5,216,1,40,20,612.37
28/12/2022,AU,Brisbane,so2,14,0.6,8.2,0.6,41.31
28/12/2022,AU,Canberra,co,22,0.2,0.7,0.3,0.2
28/12/2022,AU,Canberra,no2,29,0.5,9.6,1.9,39.81
28/12/2022,AU,Canberra,o3,69,1.7,17.5,10.6,205.21
28/12/2022,AU,Canberra,pm10,71,2,21,9,142.04
28/12/2022,AU,Canberra,pm2.5,68,1,58,25,1573.47
28/12/2022,AU,Darwin,co,70,1.2,5.4,4.2,28.8
28/12/2022,AU,Darwin,no2,70,0.1,1.7,0.4,2.35
28/12/2022,AU,Darwin,o3,72,3,10.8,6.2,41.74
28/12/2022,AU,Darwin,pm10,72,1,19,8,173.73
28/12/2022,AU,Darwin,pm2.5,55,1,26,7,375.71
28/12/2022,AU,Darwin,so2,62,0.1,0.9,0.1,1.01
28/12/2022,AU,Hobart,pm10,70,1,21,6,175.41
28/12/2022,AU,Hobart,pm2.5,45,5,21,9,151.43
28/12/2022,AU,Launceston,pm10,118,1,21,5,94.73
28/12/2022,AU,Launceston,pm2.5,81,5,34,9,358.09
28/12/2022,AU,Melbourne,co,92,0.7,3.3,1.9,2.23
28/12/2022,AU,Melbourne,no2,85,1.9,13,2.8,53.66
28/12/2022,AU,Melbourne,o3,86,8.8,32,15.2,576.91
28/12/2022,AU,Melbourne,pm10,117,3,42,18,660.45
28/12/2022,AU,Melbourne,pm2.5,164,2,51,25,936.9
28/12/2022,AU,Melbourne,so2,4,0.3,0.5,0.3,0.1
28/12/2022,AU,Newcastle,no2,68,1,11.2,2.8,79.85
28/12/2022,AU,Newcastle,pm10,142,2,61,16,1713.04
28/12/2022,AU,Newcastle,pm2.5,128,1,55,20,1479.66
28/12/2022,AU,Newcastle,so2,27,1.5,12.9,1.5,58.96
28/12/2022,AU,Perth,no2,11,1.2,5.6,3.4,26.84
28/12/2022,AU,Perth,o3,60,12,35,19,295.01
28/12/2022,AU,Perth,pm10,91,5,19,10,103.77
28/12/2022,AU,Perth,pm2.5,85,2,18,7,189.68
28/12/2022,AU,Sydney,co,9,1.2,2.3,2.3,3.03
28/12/2022,AU,Sydney,no2,89,1,8.4,2.8,40.67
28/12/2022,AU,Sydney,o3,134,3.2,32.8,15.2,380.52
28/12/2022,AU,Sydney,pm10,144,2,28,14,278.13
28/12/2022,AU,Sydney,pm2.5,143,1,52,17,913.37
28/12/2022,AU,Sydney,so2,38,1.5,17.2,2.9,98.61
28/12/2022,AU,Wollongong,co,7,1.2,2.3,1.2,2.88
28/12/2022,AU,Wollongong,no2,22,1,7.5,1.9,30.71
28/12/2022,AU,Wollongong,o3,43,5.6,26.4,16,362.69
28/12/2022,AU,Wollongong,pm10,48,2,34,20,717
28/12/2022,AU,Wollongong,pm2.5,46,1,60,21,1594.88
28/12/2022,AU,Wollongong,so2,5,1.5,2.9,1.5,3.92
29/12/2022,AU,Adelaide,co,22,0.9,1.7,1.2,0.7
29/12/2022,AU,Adelaide,no2,60,0.5,4.2,1.4,6.15
29/12/2022,AU,Adelaide,o3,67,3.7,9,6.1,22.15
29/12/2022,AU,Adelaide,pm10,120,11,40,20,263.75
29/12/2022,AU,Adelaide,pm2.5,95,3,105,21,2012.96
