Date,Country,City,Pollutant,count,min,max,median,variance,AQI,Rounded AQI
2022-12-27,AU,Brisbane,pm10,214,1.0,30.0,12.0,196.38,7.92,8
2022-12-27,AU,Brisbane,pm2.5,210,1.0,35.0,19.0,481.84,25.080000000000002,25
2022-12-27,AU,Brisbane,so2,14,0.6,8.2,1.1,43.75,0.2729323308270677,0
2022-12-27,AU,Canberra,co,12,0.1,0.5,0.3,0.17,1.65,2
2022-12-27,AU,Canberra,no2,21,0.5,2.8,1.9,6.3,0.78375,1
2022-12-27,AU,Canberra,o3,69,0.5,20.8,11.8,316.05,5.811940298507463,6
2022-12-27,AU,Canberra,pm10,69,1.0,21.0,8.0,227.68,5.28,5
2022-12-27,AU,Canberra,pm2.5,56,2.0,54.0,22.0,1890.91,29.040000000000003,29
2022-12-27,AU,Darwin,co,69,1.3,5.4,4.2,26.77,23.1,23
2022-12-27,AU,Darwin,no2,69,0.1,2.2,0.4,2.67,0.165,0
2022-12-27,AU,Darwin,o3,71,0.8,7.4,4.2,14.52,2.0686567164179106,2
2022-12-27,AU,Darwin,pm10,71,1.0,11.0,5.0,75.61,3.3000000000000003,3
2022-12-27,AU,Darwin,pm2.5,53,1.0,14.0,8.0,141.6,10.56,11
2022-12-27,AU,Darwin,so2,63,0.1,0.9,0.1,0.9,0.02481203007518797,0
2022-12-27,AU,Hobart,pm10,70,4.0,15.0,7.0,48.13,4.62,5
2022-12-27,AU,Hobart,pm2.5,55,5.0,38.0,13.0,315.51,17.16,17
2022-12-27,AU,Launceston,pm10,120,4.0,20.0,7.0,40.67,4.62,5
2022-12-27,AU,Launceston,pm2.5,92,9.0,25.0,13.0,124.05,17.16,17
2022-12-27,AU,Melbourne,co,89,1.0,3.7,2.0,3.89,11.0,11
2022-12-27,AU,Melbourne,no2,87,1.9,11.2,4.7,43.4,1.93875,2
2022-12-27,AU,Melbourne,o3,92,4.0,42.4,29.6,1736.75,14.57910447761194,15
2022-12-27,AU,Melbourne,pm10,118,3.0,31.0,15.0,346.66,9.9,10
2022-12-27,AU,Melbourne,pm2.5,167,8.0,70.0,35.0,1966.41,46.2,46
2022-12-27,AU,Melbourne,so2,37,0.1,0.8,0.4,0.36,0.09924812030075188,0
2022-12-27,AU,Newcastle,no2,53,1.0,8.4,2.8,47.06,1.1549999999999998,1
2022-12-27,AU,Newcastle,pm10,141,2.0,60.0,13.0,739.9,8.58,9
2022-12-27,AU,Newcastle,pm2.5,127,1.0,68.0,13.0,1446.45,17.16,17
2022-12-27,AU,Newcastle,so2,36,1.5,24.3,1.5,359.7,0.3721804511278195,0
2022-12-27,AU,Perth,no2,7,1.2,3.4,2.3,12.1,0.9487499999999999,1
2022-12-27,AU,Perth,o3,67,6.0,25.0,17.0,200.25,8.373134328358208,8
2022-12-27,AU,Perth,pm10,92,2.0,18.0,8.0,162.69,5.28,5
2022-12-27,AU,Perth,pm2.5,87,2.0,18.0,8.0,154.58,10.56,11
2022-12-27,AU,Sydney,co,3,1.2,1.2,1.2,0.0,6.6,7
2022-12-27,AU,Sydney,no2,82,1.0,9.3,2.8,49.78,1.1549999999999998,1
2022-12-27,AU,Sydney,o3,134,0.8,24.8,12.8,343.92,6.304477611940299,6
2022-12-27,AU,Sydney,pm10,140,1.0,33.0,9.0,203.96,5.94,6
2022-12-27,AU,Sydney,pm2.5,136,1.0,76.0,13.0,861.85,17.16,17
2022-12-27,AU,Sydney,so2,26,1.5,22.9,2.9,362.73,0.719548872180451,1
2022-12-27,AU,Wollongong,co,4,1.2,2.3,1.2,3.03,6.6,7
2022-12-27,AU,Wollongong,no2,23,1.0,12.1,1.9,121.32,0.78375,1
2022-12-27,AU,Wollongong,o3,46,0.8,20.8,12.1,395.17,5.959701492537313,6
2022-12-27,AU,Wollongong,pm10,48,1.0,27.0,11.0,346.7,7.260000000000001,7
2022-12-27,AU,Wollongong,pm2.5,39,1.0,46.0,16.0,1246.07,21.12,21
2022-12-27,AU,Wollongong,so2,4,1.5,2.9,1.5,6.53,0.3721804511278195,0
2022-12-28,AU,Adelaide,co,22,0.9,2.5,1.4,3.08,7.699999999999999,8
2022-12-28,AU,Adelaide,no2,49,0.5,6.4,1.4,15.97,0.5774999999999999,1
2022-12-28,AU,Adelaide,o3,61,4.9,13.9,7.0,56.36,3.4477611940298507,3
2022-12-28,AU,Adelaide,pm10,120,6.0,42.0,22.0,627.95,14.520000000000001,15
2022-12-28,AU,Adelaide,pm2.5,96,5.0,81.0,25.0,1450.73,33.0,33
2022-12-28,AU,Adelaide,so2,2,0.6,0.6,0.6,0.0,0.1488721804511278,0
2022-12-28,AU,Brisbane,no2,117,0.5,6.4,1.9,23.86,0.78375,1
2022-12-28,AU,Brisbane,o3,71,1.3,8.2,5.3,30.35,2.6104477611940298,3
2022-12-28,AU,Brisbane,pm10,216,1.0,22.0,12.0,195.15,7.92,8
2022-12-28,AU,Brisbane,pm2.5,216,1.0,40.0,20.0,612.37,26.400000000000002,26
2022-12-28,AU,Brisbane,so2,14,0.6,8.2,0.6,41.31,0.1488721804511278,0
2022-12-28,AU,Canberra,co,22,0.2,0.7,0.3,0.2,1.65,2
2022-12-28,AU,Canberra,no2,29,0.5,9.6,1.9,39.81,0.78375,1
2022-12-28,AU,Canberra,o3,69,1.7,17.5,10.6,205.21,5.2208955223880595,5
2022-12-28,AU,Canberra,pm10,71,2.0,21.0,9.0,142.04,5.94,6
2022-12-28,AU,Canberra,pm2.5,68,1.0,58.0,25.0,1573.47,33.0,33
2022-12-28,AU,Darwin,co,70,1.2,5.4,4.2,28.8,23.1,23
2022-12-28,AU,Darwin,no2,70,0.1,1.7,0.4,2.35,0.165,0
2022-12-28,AU,Darwin,o3,72,3.0,10.8,6.2,41.74,3.053731343283582,3
2022-12-28,AU,Darwin,pm10,72,1.0,19.0,8.0,173.73,5.28,5
2022-12-28,AU,Darwin,pm2.5,55,1.0,26.0,7.0,375.71,9.24,9
2022-12-28,AU,Darwin,so2,62,0.1,0.9,0.1,1.01,0.02481203007518797,0
2022-12-28,AU,Hobart,pm10,70,1.0,21.0,6.0,175.41,3.96,4
2022-12-28,AU,Hobart,pm2.5,45,5.0,21.0,9.0,151.43,11.88,12
2022-12-28,AU,Launceston,pm10,118,1.0,21.0,5.0,94.73,3.3000000000000003,3
2022-12-28,AU,Launceston,pm2.5,81,5.0,34.0,9.0,358.09,11.88,12
2022-12-28,AU,Melbourne,co,92,0.7,3.3,1.9,2.23,10.45,10
2022-12-28,AU,Melbourne,no2,85,1.9,13.0,2.8,53.66,1.1549999999999998,1
2022-12-28,AU,Melbourne,o3,86,8.8,32.0,15.2,576.91,7.486567164179104,7
2022-12-28,AU,Melbourne,pm10,117,3.0,42.0,18.0,660.45,11.88,12
2022-12-28,AU,Melbourne,pm2.5,164,2.0,51.0,25.0,936.9,33.0,33
2022-12-28,AU,Melbourne,so2,4,0.3,0.5,0.3,0.1,0.0744360902255639,0
2022-12-28,AU,Newcastle,no2,68,1.0,11.2,2.8,79.85,1.1549999999999998,1
2022-12-28,AU,Newcastle,pm10,142,2.0,61.0,16.0,1713.04,10.56,11
2022-12-28,AU,Newcastle,pm2.5,128,1.0,55.0,20.0,1479.66,26.400000000000002,26
2022-12-28,AU,Newcastle,so2,27,1.5,12.9,1.5,58.96,0.3721804511278195,0
